crop_cd	crop_nm	prop_acidl	prop_acidh	prop_oml	prop_omh	prop_phal	prop_phah	prop_kl	prop_kh	prop_cal	prop_cah	prop_mgl	prop_mgh	prop_cecl	prop_cech	prop_selcl	prop_selch	crop_gbn	del_yn	del_ymd	crop_seqno	userin	prop_nol	prop_noh	prop_sil	prop_sih		
02128	차나무(1년)	5	6.5	3	5	200	500	0.5	0.7	2	5	0.5	2	10	15			12	Y	20070305	0	Y						
02129	차나무(2년)	5	6.5	3	5	200	500	0.5	0.7	2	5	0.5	2	10	15			12	Y	20070305	0	Y						
02130	차나무(3년)	5	6.5	3	5	200	500	0.5	0.7	2	5	0.5	2	10	15			12	Y	20070305	0	Y						
02131	차나무(4년)	5	6.5	3	5	200	500	0.5	0.7	2	5	0.5	2	10	15			12	Y	20070305	0	Y						
02132	차나무(5년)	5	6.5	3	5	200	500	0.5	0.7	2	5	0.5	2	10	15			12	Y	20070305	0	Y						
02133	차나무(6년)	5	6.5	3	5	200	500	0.5	0.7	2	5	0.5	2	10	15			12	Y	20070305	0	Y						
02134	차나무(7년이상)	5	6.5	3	5	200	500	0.5	0.7	2	5	0.5	2	10	15			12	Y	20070305	0	Y						
02135	보통옥수수(사질~사양질)	6	6.5	2	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	01	N		11	N						
02136	보통옥수수(식양질~식질)	6	6.5	2	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	01	N		11	N						
02137	단옥수수(사질~사양질)	6	6.5	2	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	01	N		11	N						
02138	단옥수수(식양질~식질)	6	6.5	2	3	150	250	0.45	0.55	5	6	1.5	2	10	15	0	2	01	N		11	N						
02139	"밀(사질~사양질,남부)도복강"	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15	0	2		N			N						
02140	"밀(식양질~식질,중북부)도복강"	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15	0	2		N			N						
02141	"밀(식양질~식질,남부)도복강"	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15	0	2		N			N						
02142	"밀(사질~사양질,중북부)도복중"	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15	0	2		N			N						
02143	"밀(사질~사양질,남부)도복중"	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15	0	2		N			N						
02144	"밀(식양질~식질,중북부)도복중"	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15	0	2		N			N						
02145	"밀(식양질~식질,남부)도복중"	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15	0	2		N			N						
02146	맥주보리(사질~사양질)도복강	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15	0	2	01	N		6	N						
02147	맥주보리(식양질~식질)도복강	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15	0	2	01	N		6	N						
02148	맥주보리(사질~사양질)도복중	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15	0	2	01	N		6	N						
02149	맥주보리(식양질~식질)도복중	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15	0	2	01	N		6	N						
02150	땅콩(신개간지)	6.5	7	2	3	150	250	0.45	0.85	6	7	1.5	2	10	15	0	2	02	N		7	N						
02151	유채(사료용)	6	6.5	3	5	150	250	0.45	0.85	6	7	1.5	2	10	15	0	2	02	N		13	N						
02152	여주	6	6.5	2	3	400	500	0.7	0.8	5	6	1.5	2	10	15	0	2	02	N			N	70	200				
02153	양파(평난지)	6	6.5	2.5	3.5	350	450	0.7	0.8	6	7	2	2.5	10	15	0	2	06	N			N						
02154	감귤온주(화산)18년이상	5.5	6.5	10.1	15	200	300	0.5	1.3	5	6	1.5	2	10	15	0	2	09	N			N						
02155	감귤온주(비화)18년이상	5.5	6.5	2.1	5	200	300	0.5	0.7	5	6	1.5	2	10	15	0	2	09	N			N						
02156	인삼(예정지)-밭	5	6	1	2	100	250	0.3	0.7	3	5	1	2			0	0.5	13	Y	20070214	0	Y		50				
02157	목초(관리용-두과목초)	6	7	2.5	3.5	200	500	0.3	0.6	5	6	1.5	2	10	15	0	2	12	N			N						
02158	청예수수류	6	6.5	2.5	3	200	250	0.45	0.55	5	6	1.5	2	10	15	0	2	12	N			N						
02159	청보리	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15			12	N			N						
02160	호밀(사료용)	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15			12	N			N						
02161	"귀리(사료, 하파용)"	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15			12	N			N						
02162	피(사료용)-기경지	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15			12	N			N						
02163	피(사료용)-간척지	6.5	7	2	3	150	250	0.45	0.55	6	7	2	2.5	10	15			12	N			N						
02164	이탈리안라이그라스	6	6.5	2.5	3	200	250	0.45	0.55	5	6	1.5	2	10	15			12	N			N						
02165	케나프(기경지)	6	6.5	2.5	3	200	250	0.45	0.55	5	6	1.5	2	10	15			12	N			N						
02166	케나프(간척지)	6	6.5	2.5	3	200	250	0.45	0.55	5	6	1.5	2	10	15			12	N			N						
02167	난지형 잔디																	12	N			N						
02168	한지형 잔디																	12	N			N						
02169	기장	6	7	2	3	150	250	0.45	0.55	6	7	6	7	10	15			13	Y	20070305	0	Y						
